SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 07-Feb-2019, 36.60, 37.25, 39.40, 36.30, 39.30, 37.10, 37.17, 34793, 12.93, 394, 10257, 29.48
21STCENMGM, EQ, 07-Feb-2019, 20.65, 20.25, 21.00, 20.25, 20.25, 20.25, 20.26, 1856, 0.38, 32, 1849, 99.62
3IINFOTECH, EQ, 07-Feb-2019, 3.10, 3.15, 3.15, 2.95, 3.05, 3.00, 3.03, 3662221, 110.85, 1378, 1802617, 49.22
3MINDIA, EQ, 07-Feb-2019, 20625.10, 20700.00, 21121.00, 20652.00, 20830.00, 20963.65, 20813.07, 1677, 349.04, 376, 1408, 83.96
3PLAND, EQ, 07-Feb-2019, 11.90, 12.90, 12.90, 10.95, 11.60, 11.80, 11.73, 1615, 0.19, 73, 499, 30.90
5PAISA, EQ, 07-Feb-2019, 231.75, 226.90, 234.75, 226.35, 230.90, 229.15, 228.91, 1351, 3.09, 115, 1082, 80.09
63MOONS, EQ, 07-Feb-2019, 80.55, 80.50, 82.80, 80.00, 80.20, 80.30, 81.16, 213460, 173.25, 4733, 66570, 31.19
8KMILES, EQ, 07-Feb-2019, 106.65, 106.95, 111.95, 104.60, 111.95, 111.95, 109.22, 99086, 108.22, 1140, 75818, 76.52
A2ZINFRA, EQ, 07-Feb-2019, 9.80, 9.75, 10.25, 9.75, 10.20, 10.20, 10.12, 272685, 27.61, 464, 162956, 59.76
AAKASH, SM, 07-Feb-2019, 19.00, 19.00, 19.00, 17.00, 19.00, 19.00, 17.03, 236000, 40.20, 11, 234000, 99.15
AARON, SM, 07-Feb-2019, 43.00, 42.80, 44.45, 42.80, 44.45, 43.75, 43.74, 15000, 6.56, 5, 9000, 60.00
AARTIDRUGS, EQ, 07-Feb-2019, 590.15, 587.85, 595.00, 580.15, 590.15, 591.75, 589.77, 25314, 149.29, 893, 21127, 83.46
AARTIIND, EQ, 07-Feb-2019, 1613.00, 1625.95, 1645.75, 1585.50, 1617.00, 1614.30, 1613.01, 58389, 941.82, 8151, 23605, 40.43
AARVEEDEN, EQ, 07-Feb-2019, 22.15, 22.00, 22.55, 21.70, 22.30, 22.15, 22.11, 9871, 2.18, 115, 7528, 76.26
AAVAS, EQ, 07-Feb-2019, 839.15, 835.05, 853.00, 835.05, 852.00, 850.60, 847.29, 52832, 447.64, 2052, 47057, 89.07
ABAN, EQ, 07-Feb-2019, 52.35, 52.05, 54.00, 50.40, 52.85, 52.25, 52.27, 609235, 318.43, 6492, 136810, 22.46
ABB, EQ, 07-Feb-2019, 1259.90, 1262.00, 1286.00, 1259.00, 1266.00, 1266.50, 1275.25, 42006, 535.68, 2898, 9299, 22.14
ABBOTINDIA, EQ, 07-Feb-2019, 8119.70, 8129.60, 8325.00, 8099.10, 8231.60, 8238.95, 8239.92, 4141, 341.21, 943, 2183, 52.72
ABCAPITAL, EQ, 07-Feb-2019, 82.35, 82.55, 84.05, 81.70, 83.45, 83.55, 82.83, 2066108, 1711.41, 19774, 1253568, 60.67
ABFRL, EQ, 07-Feb-2019, 210.25, 210.05, 214.90, 208.75, 210.40, 211.00, 212.27, 646620, 1372.55, 8725, 358050, 55.37
ABGSHIP, BZ, 07-Feb-2019, 1.70, 1.65, 1.65, 1.65, 1.65, 1.65, 1.65, 5418, 0.09, 16, -, -
ACC, EQ, 07-Feb-2019, 1401.45, 1407.40, 1441.70, 1401.55, 1418.00, 1421.60, 1425.89, 829367, 11825.85, 23405, 324163, 39.09
ACCELYA, EQ, 07-Feb-2019, 934.15, 930.20, 939.50, 930.20, 934.55, 935.35, 935.26, 3233, 30.24, 376, 2275, 70.37
ACCORD, SM, 07-Feb-2019, 23.60, 24.85, 24.90, 24.00, 24.00, 24.00, 24.58, 6000, 1.48, 3, 4000, 66.67
ACCURACY, SM, 07-Feb-2019, 56.00, 56.50, 56.50, 56.50, 56.50, 56.50, 56.50, 1600, 0.90, 1, 1600, 100.00
ACE, EQ, 07-Feb-2019, 83.60, 84.75, 87.80, 83.55, 84.75, 85.45, 85.42, 79920, 68.27, 1188, 33344, 41.72
ACEINTEG, SM, 07-Feb-2019, 26.50, 26.50, 27.00, 26.50, 27.00, 27.00, 26.75, 6000, 1.61, 2, 6000, 100.00
ADANIENT, EQ, 07-Feb-2019, 122.90, 122.20, 126.80, 119.05, 123.30, 123.95, 123.26, 9826247, 12111.63, 53136, 473236, 4.82
